frequency_hz,normal_raw_power,inner_raw_power,outer_raw_power,normal_envelope_power,inner_envelope_power,outer_envelope_power
63.33003489401594,5.162804891685497e-11,0.0009303670993563879,0.0012458616481970533,2.489124252980087e-08,0.11456317227206217,0.0550921154280469
66.66319462527993,3.4528266646837525e-10,0.0016095421744510858,0.006117411269629318,2.4495329736542275e-08,0.8413662643975386,0.1838779348328945
69.99635435654393,6.5451948824332e-09,0.0006941159164226603,0.001544970496475809,1.122102621365693e-07,223.68781197342219,6.605173666374497
73.32951408780792,5.072771072640723e-06,9.169679268419107e-05,0.006065454835989016,0.00014613967072599036,1940.174758194194,4699.250101783068
76.66267381907193,1.4958580320657182e-05,0.0008229438147631487,0.017569725996034614,0.0004154288294804568,1048.4859375668957,13842.584501343148
79.99583355033592,2.7122171226338412e-06,0.0016651688200913363,0.006168534429802199,7.934501147884462e-05,12.723416381399964,2507.7414185020516
83.32899328159992,3.052417728754603e-09,0.001432045556531057,0.004735325171635857,1.6920858529631306e-07,0.655826317851217,3.214224263452303
86.66215301286391,2.213514969069359e-10,0.0009931986917611209,0.010504398308024684,3.582062956586038e-08,0.07431340930445565,0.11074419439732132
89.99531274412792,3.776762942294968e-11,0.001545848985741452,0.0006493728609388755,1.9703922720107327e-08,0.14135056394465595,0.05508840094761598
93.3284724753919,9.767570336295905e-12,0.0014428733352862275,0.011461179567359925,1.415984743777723e-08,11.07939617302181,0.05481233107337012
96.66163220665591,6.9654965052405294e-12,0.00010617694150913423,0.011030137472003411,1.9136341709700365e-08,617.9930535461917,0.03058533714146767
99.9947919379199,3.688596403819548e-11,0.0018164858000377401,0.0028793389486625725,2.755094856355955e-08,1036.5441901859645,0.024862157848176674
103.3279516691839,3.296315239488529e-11,0.0019798684619380304,0.009821046865675575,3.355012383571859e-08,107.2725348143403,0.17961258577039016
106.6611114004479,6.553932827776471e-13,0.00186772316698106,0.010243401161319348,3.1454144038871574e-09,0.6184162924571073,0.03209080600561528
109.99427113171188,2.687199149369424e-13,0.0012522731942449235,0.0003924476227020593,1.1130301445353439e-09,0.004917755148356503,4.319335394397345
113.32743086297589,3.676715688525416e-13,0.0013916623697717394,0.004405539465583359,7.446534575854127e-10,0.06866106453378562,51.93900976151097
116.66059059423988,5.478258637697118e-13,0.0022630674996967715,0.004835061794061293,7.280341079965451e-10,0.01730050522820144,34.340012642636125
119.99375032550388,9.64131544647997e-13,8.027969793851584e-05,0.006311578880641945,1.0356102091029816e-09,125.98173850681144,0.7343087860554467
123.32691005676787,5.255200883593461e-12,0.003339199552528464,0.05635715931956896,3.3970924007208075e-09,669.3272986780263,0.04759322416134334
126.66006978803188,5.116818468422866e-11,0.003566976449519986,0.023440510352938444,1.649131538411325e-08,249.76883967304485,0.09207510806631775
129.99322951929588,3.3725265929785275e-11,0.0023968247121305456,0.003757433745530368,5.9500332190138525e-09,1.0774332826926944,0.019731675909607973
133.32638925055986,2.221737357687889e-11,0.001692929652521377,0.00796013069806149,6.324969536128446e-09,0.07453632034438622,0.028009803855213906
136.65954898182386,7.208527507171167e-11,0.0013125247389815919,0.0033561910925245146,7.707895349457286e-09,0.0395740934060161,0.05048081013994811
139.99270871308786,3.101115817594188e-10,0.0024594490682776308,0.0008410934682033161,1.0510912947134513e-08,0.07537032873022449,0.063139791474247
