class,samples,duration_retained_s,mean,std,rms_ac,peak_abs,target_hz,raw_peak_hz,raw_error_pct,envelope_peak_hz,envelope_error_pct,bpfi_raw_band_power,bpfi_env_band_power,bpfo_raw_band_power,bpfo_env_band_power
normal,19201,0.3,0.0007689345287021341,0.16583946965313678,0.16583946965313678,2.4343437787497315,None,,,,,5.255200883593461e-12,3.3970924007208075e-09,1.4958580320657182e-05,0.0004154288294804568
inner,19201,0.3,0.14637848201535786,144.80354168601727,144.80354168601727,720.6971138664564,123.6842105263158,125.46796032611178,1.4421806891967532,123.75637530974159,0.058345995110213836,0.003339199552528464,669.3272986780263,0.0008229438147631487,1048.4859375668957
outer,19201,0.3,-0.07575807899540708,285.8397009529026,285.8397009529026,906.6108214243035,76.31578947368422,76.67598235071796,0.4719768733545552,76.28735880208136,0.03725398347961278,0.05635715931956896,0.04759322416134334,0.017569725996034614,13842.584501343148
