time_s,raw_acceleration_mps2,highpass_mps2,lowpass_mps2
0.087609375,-79.79013946925888,-75.25834968380504,-4.531789717928579
0.08762500000000001,-62.354461048782476,-57.735458392473824,-4.619002590221394
0.087640625,-41.27605127654204,-36.57650678373175,-4.699544428378347
0.08765625,-17.431563368508826,-12.658521053941826,-4.773042252011906
0.087671875,8.244000528818892,13.083128235811039,-4.839127646539352
0.0876875,34.69164522215441,39.58908251886058,-4.897437238584558
0.087703125,60.74796186509524,65.69557511770417,-4.947613197050458
0.08771875,85.19383962420311,90.18314345720114,-4.9893037802372255
0.087734375,106.81995507241008,111.84211907105144,-5.022163948914869
0.08775000000000001,124.50127269273553,129.54712880312593,-5.045856063936409
0.087765625,137.27291190955322,142.33296263730958,-5.060050684814169
0.08778125,144.39952242599685,149.46394994791868,-5.064427482731186
0.087796875,145.43072847308594,150.48940478610015,-5.058676277814948
0.0878125,140.2365094914461,145.2790077287047,-5.042498206289856
0.087828125,129.0185240909363,134.0341311359429,-5.01560701850637
0.08784375,112.29609837880331,117.27382890459947,-4.977730504000447
0.087859375,90.86850333564705,95.79711538736674,-4.928612034862085
0.08787500000000001,65.75780585699322,70.62581808266872,-4.868012213986349
0.087890625,38.13859837974274,42.934308996474336,-4.795710610437415
0.08790625,9.262007181804952,13.973514742835178,-4.711507560352945
0.087921875,-19.618577063157268,-15.00335105960913,-4.61522600870443
0.0879375,-47.31356269281992,-42.80684933909174,-4.506713364928629
0.08795312500000001,-72.75028631979986,-68.36444299320995,-4.3858433440383875
0.08796875,-95.01070640934888,-90.75818866889105,-4.252517764350651
0.087984375,-113.35347337136137,-109.24680512844861,-4.106668273437886
0.088,-127.22221472603248,-123.2739567880883,-3.9482579752805544
0.088015625,-136.2433117794373,-132.46602888995199,-3.7772829338019625
0.08803125,-140.21710643147514,-136.62333295202876,-3.5937735309016166
0.088046875,-139.10627746015817,-135.7084818582553,-3.3977956606435553
0.0880625,-133.02393677303547,-129.834485093939,-3.189451745257287
