time_s,normal_mps2,inner_mps2,outer_mps2
0.15000000000000002,0.013523581011945325,0.018017569730950974,-0.36444654443053753
0.15100000000000002,0.02650407830767378,0.02924666323813953,0.35062694927074095
0.152,-0.00570342304976303,-0.0027187402492454176,-0.28159761056360577
0.153,-0.0035415298590709744,-0.0034835851831167388,0.38401969189900875
0.154,-0.003707156307535453,-0.004482507749333071,-0.5509171389201667
0.155,-0.0022770461807661616,-0.004246029724784728,0.9417636847637437
0.156,-0.0026183190767223386,-0.0047165806866298786,-4.749836715391906
0.157,-0.0018385882090525532,-0.00384816719863265,6.564443565578899
0.158,-0.002665307052644147,-0.004076074342415026,-1.0821800436264386
0.159,-0.0019249324072490369,-0.002575085672609665,-4.506287611525966
0.16,-0.003896187281785946,-0.019611728529172825,1.941213993846599
0.161,-0.0023090914119544433,0.019530248121495706,-0.9870509612484841
0.162,-0.007950291480042898,-0.03424136564399136,0.7140266094227654
0.163,0.00946100082566076,0.10405757462025714,-0.41715193109635235
0.164,0.028327310005467093,-0.10941174420327449,0.36565504756717504
0.165,-0.0038429303566045927,0.22029589539721212,-0.232010995817009
0.166,-0.004604271815941373,-0.3709927680641404,0.26229955379451975
0.167,-0.0036083748489248815,0.5362631340251438,-0.3415207525836324
0.16799999999999998,-0.002794518117111714,-0.8052172763249904,0.6017856139517965
0.16899999999999998,-0.0026750505025781653,-3.604626639765428,-3.232840943503731
0.16999999999999998,-0.0021782019297632133,9.69930910219892,5.439603858161908
0.17099999999999999,-0.0026849312123581395,-4.653674406750014,5.877130300084522
0.172,-0.0021915998696101897,1.58649864258281,-3.243605042673217
0.173,-0.0037390510736827432,-0.8004089255246543,1.2032491310055444
0.174,-0.002620465246948689,0.5379532265353791,-0.5940493996597236
0.175,-0.007267414980773139,-0.3123639767858219,0.449213249995732
0.176,0.005341728244522153,0.21954356458240598,-0.305401121505918
0.177,0.029735243916453002,-0.10224217255627603,0.3383954659830629
0.178,-0.000939265756910289,0.09902064695096516,-0.3814857830356365
0.179,-0.005514746924668673,-0.043380653436931774,0.5099800264577539
0.18,-0.003113332008935896,0.010262210202186227,-0.7929605664197064
0.181,-0.003006072053548661,-0.007828692839909224,1.4249042186039087
0.182,-0.0023302604844427587,0.011761974903410237,-4.6215361324511175
0.183,-0.002171885108727915,0.01398500921564135,3.0762986789824005
0.184,-0.0023052948290685302,0.008335191398910636,4.834225835692354
0.185,-0.0021332968325867953,-0.0007187384880727732,-5.372607502768681
0.186,-0.003204658076686906,-0.008249577410978245,1.770073935374305
0.187,-0.0027048897174088817,-0.010142169036111155,-0.8531934436999244
0.188,-0.006183286961846318,-0.01164984389410224,0.6699947360245774
0.189,0.0020549852458719787,0.0013765060217438663,-0.430315945759824
0.19,0.030386833163837487,0.02954989706234735,0.4250334069445157
0.191,0.002283168270242348,0.0066741173516026596,-0.44437379749223654
0.192,-0.006307710507291525,-0.0020547143503203127,0.5796634662583254
0.193,-0.002653847067502293,0.0010630813827894375,-0.8447267068449603
0.194,-0.003251205378821943,-0.0002488256821713233,1.479032179142283
0.195,-0.002107452292628496,-0.0004902350118824167,-4.032502702997763
0.196,-0.0023286177919844765,-0.0019077893794632122,3.4442856126171564
0.197,-0.002143092448067206,-0.0029627891748747535,2.8276524679176274
0.198,-0.0023488594472326316,-0.0038214893690079422,-6.894544553067894
0.199,-0.002959828429471731,-0.004741126265645666,1.9420095038644687
